52	1
53	2
54	3
55	4
56	5
57	6
58	7
59	8
60	9
61	10
62	11
63	12
64	13
65	14
66	15
67	16
68	17
69	18
70	19
71	20
72	21
73	22
74	23
75	24
76	25
77	26
79	27
80	28
81	29
82	30
83	31
84	32
85	33
86	34
87	35
88	36
89	37
90	38
91	39
92	40
93	41
94	42
190	43
191	44
192	45
194	46
195	47
196	48
197	49
198	50
199	51
200	52
201	53
202	54
203	55
204	56
205	57
206	58
207	59
208	60
209	61
210	62
211	63
212	64
213	65
214	66
215	67
216	68
217	69
218	70
219	71
220	72
221	73
222	74
223	75
224	76
225	77
226	78
227	79
228	80
229	81
230	82
231	83
232	84
233	85
234	86
235	87
236	88
237	89
238	90
239	91
240	92
241	93
242	94
243	95
244	96
245	97
246	98
247	99
248	100
249	101
250	102
251	103
252	104
253	105
254	106
255	107
256	108
257	109
258	110
259	111
260	112
261	113
262	114
263	115
264	116
265	117
266	118
267	119
268	120
269	121
270	122
271	123
272	124
273	125
274	126
275	127
276	128
277	129
278	130
279	131
280	132
281	133
282	134
283	135
284	136
285	137
286	138
287	139
288	140
289	141
290	142
291	143
292	144
293	145
294	146
295	147
296	148
297	149
300	150
301	151
302	152
303	153
304	154
305	155
306	156
307	157
308	158
352	159
353	160
354	161
355	162
356	163
357	164
358	165
359	166
360	167
361	168
362	169
363	170
364	171
365	172
366	173
367	174
368	175
369	176
370	177
371	178
372	179
373	180
374	181
375	182
376	183
381	184
382	185
384	186
385	187
386	188
387	189
388	190
389	191
390	192
391	193
392	194
393	195
394	196
395	197
396	198
397	199
398	200
399	201
400	202
401	203
402	204
403	205
404	206
405	207
406	208
407	209
408	210
409	211
410	212
411	213
412	214
413	215
414	216
415	217
416	218
417	219
418	220
419	221
420	222
421	223
422	224
423	225
424	226
425	227
426	228
427	229
428	230
429	231
430	232
431	233
432	234
433	235
434	236
435	237
436	238
437	239
438	240
439	241
442	242
443	243
444	244
445	245
446	246
447	247
448	248
449	249
450	250
451	251
452	252
453	253
454	254
455	255
456	256
457	257
458	258
462	259
463	260
464	261
465	262
466	263
467	264
468	265
469	266
470	267
471	268
472	269
473	270
474	271
475	272
476	273
477	274
478	275
479	276
480	277
481	278
47	279
561	280
563	281
164	282
565	283
566	284
344	285
567	286
133	287
123	288
568	289
570	290
573	291
574	292
575	293
110	294
581	295
102	296
106	297
597	298
598	299
704	300
1314	301
564	302
909	303
1316	304
1317	305
1318	306
1319	307
1320	308
1321	309
1322	310
1323	311
1324	312
768	313
1325	314
1326	315
893	316
1327	317
1328	318
1334	319
1335	320
48	321
705	322
51	323
1338	324
1341	325
874	326
1342	327
764	328
1343	329
1344	330
1345	331
1346	332
550	333
1261	334
544	335
1347	336
322	337
954	338
990	339
1348	340
100	341
1351	342
1352	343
1353	344
1021	345
1355	346
1356	347
1357	348
377	349
1358	350
379	351
1359	352
1360	353
1361	354
1362	355
1132	356
461	357
1364	358
460	359
459	360
1365	361
1366	362
1367	363
1368	364
1369	365
1372	366
1373	367
606	368
1376	369
1377	370
1469	371
1470	372
28	373
756	374
1383	375
1471	376
1259	377
853	378
29	379
1472	380
1473	381
1179	382
1474	383
698	384
1384	385
1475	386
750	387
1406	388
1111	389
1308	390
559	391
1476	392
99	393
1477	394
1273	395
1228	396
1478	397
1479	398
1243	399
709	400
633	401
1586	402
1587	403
686	404
1592	405
1593	406
739	407
1594	408
176	409
733	410
118	411
119	412
1595	413
599	414
11	415
1597	416
1598	417
617	418
1599	419
1600	420
879	421
1602	422
146	423
137	424
113	425
1604	426
1605	427
1264	428
1606	429
1607	430
1608	431
912	432
1612	433
1613	434
708	435
693	436
1614	437
1615	438
1616	439
1617	440
1618	441
1620	442
1621	443
1622	444
1628	445
1629	446
1630	447
1631	448
1633	449
1634	450
1635	451
1636	452
585	453
12	454
1639	455
1640	456
1641	457
662	458
1642	459
127	460
1643	461
1456	462
1644	463
1645	464
20	465
1647	466
1648	467
546	468
1039	469
1649	470
1459	471
596	472
1157	473
1655	474
1656	475
1657	476
1658	477
1659	478
1660	479
1661	480
1662	481
1663	482
1664	483
1666	484
1667	485
1668	486
1675	487
1676	488
1682	489
